R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R1292	101357|Patagia: Flaps Allowing Limited Flight.1	Can only be used when the vampire its on is in combat himself. [ANK 20221021]
R1293	101360|Path of Death and the Soul.1	You cannot choose a Discipline card that all your vampires already have at superior. [LSJ 20031209]
R1294	101360|Path of Death and the Soul.2	If you fail to find a Discipline card, you still get the blood. [LSJ 20031209]
R1295	101380|Peace Treaty.1	Only requires that the pool cost be paid in order to keep the weapon. Blood costs, if any, need not be repaid to keep a weapon. [RTR 20010710]
R1296	101380|Peace Treaty.2	Can be called even if there are no weapons in play. [RTR 20010710]
R1297	101380|Peace Treaty.3	One can decide to burn a weapon with no pool cost (not paying zero). [ANK 20190724]
R1298	101381|Peacemaker.1	If the action continues "as if unblocked", all action modifiers and reaction cards are still in effect, even those pertaining to a successful block. [RTR 19941109] [ANK 20190116]
R1299	101381|Peacemaker.2	If the action continues "as if unblocked", Methuselah that had declined to block before do not get another opportunity to block. [ANK 20190116]
R1300	101381|Peacemaker.3	"continue as if unblocked" moves the action card from the ash heap (where it went when the action was blocked) to limbo (where it should be if the action is not blocked). If the action card is not in the ash heap, then the action cannot be continued. [LSJ 20070808-1]
R1301	101383|Pentex(TM) Loves You!.1	The ability to increase bleed is treated as an action modifier: it can be used at any time during the action. [LSJ 19970718]
R1302	101385|Père Lachaise, France.1	The vampire retrieved need only be in your ash heap. It does not have to be a vampire that you had first controlled. [LSJ 20040812]
R1303	101385|Père Lachaise, France.2	The crypt card on it is out of play and should be face down. [LSJ 20040812]
R1304	101386|Perfect Clarity.1	Does prevent bleed redirection (eg. {Deflection}). [LSJ 20010621] [LSJ 20010830]
R1305	101388|Perfectionist.1	No blood can be gained if a reaction card is played and canceled as it is played: it has still been played. [LSJ 20070330]
R1306	101388|Perfectionist.2	Cards and effects that can be played "after resolution" can be played after the gain blood effect. [ANK 20190113]
R1307	101388|Perfectionist.3	The blood can be gained if the action is unblocked even if it has no effect (due to lack of a suitable target, for example). [LSJ 20070411]
R1308	101395|Personal Scourge.1	If the opponent dodges this strike, his weapons are unaffected and do damage this round. [LSJ 20040928]
R1309	101395|Personal Scourge.2	Does not protect the target from self-inflicted damage from a weapon. [LSJ 19980216]
R1310	101395|Personal Scourge.3	[DEM] The press can only be used during the current round. [TOM 19960521]
R1311	101398|Phased Motion Detector.1	Can provide intercept only once during each action. [RBK wording-templates] [ANK 20230116]
R1312	101398|Phased Motion Detector.2	Grants intercept even if the bearer is not blocking yet. [LSJ 20100329]
R1313	101401|Piper.1	When used to recruit an ally, the ally cannot act this turn. [LSJ 20080630] [RTR 20180303]
R1314	101401|Piper.2	This is not an action, so cost reductions refering to an action like {Charisma} or {Erichtho} do not apply. [LSJ 20090115-1] [ANK 20170309]
R1315	101401|Piper.3	This does not count as performing the action to recruit this ally in respect to section 3 of the rules. The same vampire can recruit the same ally the normal way later this turn if he unlocks (and/or Piper it a second time). [LSJ 20080815]
R1316	101401|Piper.4	When recruiting an ally or retainer whose effect depend on Discipline level, the chosen vampire decides in respect to his disciplines the normal way. [LSJ 20080803]
R1317	101401|Piper.5	The ally card is not "played" by the vampire (eg. {Louhi}'s ability cannot cancel it). [ANK 20201229]
R1318	101405|Pocket Out of Time.1	[TEM] Cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R1319	101405|Pocket Out of Time.2	[TEM] Cannot be used to start a new combat if the opponent is not ready. [ANK 20220429]
R1320	101406|Poison Pill.1	Any decrease in pool (burning, paying, ...) is considered "loosing pool". [ANK 20180719-2]
R1321	101406|Poison Pill.2	Gaining pool does not count as a negative loss. If a vote entails both a gain and a loss (eg. {Ancient Influence}), only the loss is counted, not the difference. [ANK 20180813] [LSJ 20041025]
R1322	101416|Political Seizure.1	If you yield the Political Seizure, the location it was contesting does not come into play under your control. [LSJ 19980223]
R1323	101418|Political Struggle.1	The acting vampire gains X votes if the vampire with this card is burned, no matter how that vampire is burned. [LSJ 19990119]
R1324	101418|Political Struggle.2	If the victim is burned by diablerie, the votes gained from Political Struggle are gained before the blood hunt referendum. [LSJ 20050707]
R1325	101418|Political Struggle.3	The votes include bonus votes from cards or ability (eg. {Eze, The Demon Prince}, {Firebrand}) but not conditional votes (eg. {Sundown}, {Aura of Invincibility}). [ANK 20211009] [LSJ 20040518-2]
R1326	101418|Political Struggle.4	Priscus ballots are not taken into account. [ANK 20211009] [LSJ 20041025]
R1327	101420|Port Authority.1	The cards are replaced before unlocking cards: other unlock effects cannot be ordered before. [ANK 20200129] [LSJ 20091208]
R1328	101422|Portrait, The.1	If the revealed vampire is between 7 and 10 capacity and the acting vampire has bled this turn already, he simply unlocks and the remainder of the effect is lost. [LSJ 20021118]
R1329	101423|Possession.1	Any continuous effect having been applied to the vampire before is lost when they go in the ash heap. [LSJ 20040726]
R1330	101425|Potio Martyrium.1	Only requires one clan or the other (Tremere or Tremere antitribu) to be played. [ANK 20190203]
R1331	101425|Potio Martyrium.2	The damage is done during combat, the opponent can use combat cards to prevent it. [LSJ 20100205]
R1332	101425|Potio Martyrium.3	The damage does not depend on range. [ANK 20181024]
R1333	101426|Pounce.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R1334	101426|Pounce.2	Damage done to the striking minion is environmental. [LSJ 19970801]
R1335	101426|Pounce.3	The press can only be used during the current round. [TOM 19960521]
R1336	101429|Power of One.1	[pre] Can only be used during a bleed action. [ANK 20171023] [RTR 19941109]
R1337	101429|Power of One.2	[pot] A limited bleed modifier can be played before or after. [LSJ 20100218] [RTR 20180511-2]
R1338	101430|Power Structure.1	Cannot be used during a Blood Hunt referendum, since there is no political action. [ANK 20190707]
R1339	101431|Powerbase: Barranquilla.1	{Church of the Order of St. Blaise} may be used to add a counter to it before it burns if it has zero counters. [LSJ 20050105-1]
R1340	101432|Powerbase: Berlin.1	Blood moved to it by a Ventrue action comes from the Ventrue. [LSJ 19970414]
R1341	101435|Powerbase: Los Angeles.1	A card requiring a Baron (eg. {Open War}) is a card requiring an Anarch. [LSJ 20050128] [LSJ 20080603]
R1342	101440|Powerbase: New York.1	The action to steal the blood from your powerbase cannot be attempted by your own vampires. [RTR 19980928]
R1343	101442|Powerbase: Savannah.1	Takes into account effects that change who is considered the acting vampire in combat (eg.{Deep Song}). [ANK 20230814]
R1344	101443|Powerbase: Tshwane.1	The cost reduction applies to minion cards, they are also played by the Methuselah. [ANK 20221102]
R1345	101443|Powerbase: Tshwane.2	Can be locked to reduce the cost at any point before resolution, from when the action is announced to just before the cost is paid. [ANK 20230620]
R1346	101443|Powerbase: Tshwane.3	Can be used to allow to play cards which cost could not be paid otherwise. [ANK 20230621]
R1347	101443|Powerbase: Tshwane.4	Can reduce the cost of an action card even if it is not played as an action (ie. a retainer played with Pack Alpha). [ANK 20230824] [RTR 20070707]
R1348	101475|Precognition.1	[AUS] The damage prevention can only be used if the block is successful, and only in the resulting (block-induced) combat. [LSJ 20010813]
R1349	101475|Precognition.2	[AUS] The prevention does not carry over to a follow-up combat (eg. [CEL] {Psyche!}). [LSJ 20010819-2]
R1350	101475|Precognition.3	[AUS] The prevention is provided again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R1351	101479|Predator's Transformation.1	[abo] [ACTION MODIFIER] Any directed action that ends up burning an ally counts as a directed action burning an ally (eg. {Horseshoes}). [ANK 20220507]
R1352	101479|Predator's Transformation.2	[abo] [ACTION MODIFIER] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R1353	101479|Predator's Transformation.3	[abo] [ACTION MODIFIER] Replace the action card (if any) before playing it. [ANK 20181208]
R1354	101481|Pressing Flesh.1	This is not a directed action, even when targeting another Methuselah's ash heap. [LSJ 20010627] [ANK 20181129]
R1355	101481|Pressing Flesh.2	Requirements need not to be met. If the ally requires a discipline, the inferior version is used. If the cost is X (eg. {Reanimated Corpse}), X is zero. [LSJ 20071015] [LSJ 20100302-1]
R1356	101481|Pressing Flesh.3	Can be used on an Imbued, it comes back as a zombie ally and is not an Imbued anymore. It has no Creed and cannot use Virtues, nor does it get Convictions. [LSJ 20100211]
R1357	101481|Pressing Flesh.4	A card burned while representing something else (eg. an ally raised by {Khazar's Diary (Endless Night)}) is not a valid target. [LSJ 20100325-2]
R1358	101482|Preternatural Evasion.1	[CEL] The blood is burned when playing the card. [ANK 20200703-2]
R1359	101482|Preternatural Evasion.2	[CEL] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {Mitru the Hunter}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R1360	101485|Primal Instincts.1	If the strike is canceled, the rest of the effect is also canceled. [RTR 20040501]
R1361	101486|Principia Discordia.1	[qui] can target a vampire with no blood. [RTR 20010711]
R1362	101486|Principia Discordia.2	[ser] can target a vampire with no blood.[RTR 20010711]
R1363	101486|Principia Discordia.3	[ser] If the target unlocks and the action is not blocked, it is successful but has no effect. [LSJ 20070411] [LSJ 20090514]
R1364	101486|Principia Discordia.4	[aus] is directed against the Methuselah controlling the equipment, not the minion it's on. [LSJ 20090324]
R1365	101487|Priority Contract.1	Can be burned to get 3 pool when a minion leaves the ready region because his controller is ousted. [ANK 20180129-2]
R1366	101493|Projectile.1	A minion who maneuvers with a gun may still use Projectile to shoot with that gun as his initial strike that round. [LSJ 20050304]
R1367	101493|Projectile.2	Cannot be used to strike with a weapon whose strike isn't ranged. [LSJ 20050224-3]
R1368	101493|Projectile.3	Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R1369	101494|Promise of 1528.1	The action ends unsuccessfully immediately, no other action modifier or reaction can be played afterwards. [RTR 20180719] [ANK 20200207]
R1370	101500|Protected Resources.1	All cards which modify the bleed amount are applied before Protected Resources's effect. [TOM 19960413]
R1371	101500|Protected Resources.2	Does not alter the bleed amount: it merely limits the maximum amount of pool the target of the bleed burns for the successful bleed. [LSJ 20030211]
R1372	101500|Protected Resources.3	If you perform a bleed action that resolves as a bleed for 0, you don't burn your Protected Resources. [LSJ 20030701-1]
R1373	101501|Protection Racket.1	The additional intercept is gained or lost if the acting vampire changes sect during the action (eg. with {The Red Question} or {Mask of a Thousand Faces}). [ANK 20190416]
R1374	101503|Provision of the Silsila.1	Can be used even if the target is burned of if the contract is burned when the target leaves the ready region (eg. {Priority Contract}). [PIB 20150512]
R1375	101503|Provision of the Silsila.2	Is used after combat effectively ends and can be order before or after other cards and effects played after combat (eg. {Monster}). [ANK 20230314]
R1376	101504|Proxy Kissed.1	Can be played on a vampire who already has a Proxy Kissed (and was moved to uncontrolled and re-influenced). [LSJ 20050720-1]
R1377	101504|Proxy Kissed.2	Is played during your turn in the influence phase, counts against the master phase of your next turn and prohibits you to play a second out-of-turn master card before your next master phase. [PIB 20150524]
R1378	101505|Psalm of the Damned.1	[mal], [MAL] An opponent can play a reaction to wake as the card is played, before its effects apply. [ANK 20231028]
R1379	101507|Psyche!.1	[CEL] Cannot be played if the opponent is going to torpor. [ANK 20220429]
R1380	101507|Psyche!.2	[CEL] Effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R1381	101507|Psyche!.3	[CEL] Cannot be played if there is already a combat queued. [RTR 20020501]
R1382	101507|Psyche!.4	[CEL] Is played during combat, when combat is about to end. It must be played after the presses are handled and can be played if the round ends prematurely. [RTR 20030519], [PIB 20111202]
R1383	101507|Psyche!.5	[CEL] Replacements effects that are played when a combat "would end" (eg. {Telepathic Tracking}) cannot be play afterwards. [ANK 20191219]
R1384	101507|Psyche!.6	[CEL] Can be played before of after effects that are played "at the end of combat". [LSJ 20021113] [ANK 20191219] [ANK 20180910-1]
R1385	101507|Psyche!.7	Can be retrieved by {Marthe Dizier} (reversal of previous rulings). [PIB 20111208]
R1386	101507|Psyche!.8	[CEL] Cards that are only replaced after combat (eg. {Lucky Blow}) are replaced before the new combat. [LSJ 20001122]
R1387	101507|Psyche!.9	[CEL] The new combat is still part of the current action: that action can be continued (eg. {Form of Mist}, {Mirror Image}). [LSJ 20021213]
R1388	101511|Psychomachia.1	The blocker is not locked. [LSJ 20030902-1]
R1389	101511|Psychomachia.2	[pre]: The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20020501] [LSJ 20070709]
R1390	101513|Public Trust.1	[PRE] The target uncontrolled vampire is chosen upon declaration. [ANK 20240706]
R1391	101515|Pulled Fangs.1	Counts up damage successfully inflicted during the round by the minions, retainers and environmental damage do not count. [TOM 19950304] [LSJ 20010812]
R1392	101515|Pulled Fangs.2	Must be played after the presses are handled and can be played if the round ends prematurely. [RTR 20030519]
R1393	101515|Pulled Fangs.3	Can be played before or after effects that are played at the end of the round or "when the combat would end" (eg. [AUS] {Telepathic Tracking}). Can be played before or after [CEL] {Psyche!} [LSJ 20021113] [ANK 20191219] [ANK 20180910-1]
R1394	101515|Pulled Fangs.4	A total of two actions must be performed (by whomever) to remove it. Vampires A and B can both take the action, then it is removed. [ANK 20170202-2]
R1395	101521|Purification.1	[QUI] Modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20221205]
R1396	101521|Purification.2	[QUI] The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R1397	101524|Pushing the Limit.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R1398	101525|Putrefaction.1	[THN] Damage is environmental. [RTR 19970630]
R1399	101525|Putrefaction.2	[thn] [THN] It can still be burned if the vampire is already prevented from unlocking as normal by another effect. [RTR 20070707]
R1400	101526|Putrescent Servitude.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R1401	101526|Putrescent Servitude.2	Does not stack with similar effects to provide superior [POT] (eg. {Leech}). [ANK 20180111]
R1402	101532|Quickness.1	[CEL] A limited additional strike can be played before or after. [LSJ 20001206] [ANK 20211124]
R1403	101533|Quicksilver Contemplation.1	[aus][tem] [ACTION MODIFIER][REACTION] Cannot be burned during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R1404	101533|Quicksilver Contemplation.2	[AUS][TEM] A limited bleed modifier can be played before or after. [LSJ 20100218] [RTR 20180511-2]
R1405	101536|Rack, The.1	May not select a new target just for falling out of contention. [RTR 19960112]
R1406	101536|Rack, The.2	Will not target a new copy of the same vampire if the original is burned or yielded. [TOM 19960122]
R1407	101536|Rack, The.3	Can provide blood if the target is in torpor, not if it is not controlled (eg. after a {Banishment}). [PIB 20150522] [LSJ 20010623]
R1408	101536|Rack, The.4	Tracks the target if it leaves the game by contesting or {Banishment}: if the target gets back into play, The Rack gives it blood again. [LSJ 20010809-2] [LSJ 20010809-3]
R1409	101536|Rack, The.5	If the target is stolen, the new controller chooses if the vampires gains blood during The Rack controllers unlock phase. [ANK 20200130-2]
R1410	101543|Rapid Healing.1	Is not the default action, no blood is paid to leave torpor. [ANK 20181017]
R1411	101543|Rapid Healing.2	Is a "leave torpor" action. [LSJ 19980126]
R1412	101545|Raptor.1	If combat ends and a new combat start (eg. [CEL] {Psyche!}), the opponent redraws and discard again. [LSJ 20030530]
R1413	101546|Rastacourere.1	Does not affect the Prisci sub-referendum. [LSJ 20041202]
R1414	101552|Ravnos Cache.1	The blood may be used in place of pool or blood, as appropriate to the cost of the equipment. [RTR 19960112]
R1415	101553|Ravnos Carnival.1	A Ravnos can attempt an action that he cannot pay for himself if the cost can be paid with the Carnival's help. [LSJ 20050408]
R1416	101553|Ravnos Carnival.2	How many counters are used from the Carnival must be announced as part of the terms of the action. [RTR 20111202]
R1417	101553|Ravnos Carnival.3	Cannot be used to pay for the cost of a cardless action or of an action provided by a card in play. [ANK 20180109] [LSJ 20070224]
R1418	101554|Raw Recruit.1	The created vampire is not unique. [LSJ 20100221]
R1419	101554|Raw Recruit.2	Blood, equipments and other cards on the initial target are burned. [LSJ 20100302-2]
R1420	101555|Rayzeel's Song.1	[ani] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {Dragos}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R1421	101557|React with Conviction.1	If used to cancel an action, the action is not performed, the minion stays unlocked (and can try the same action again). [LSJ 20060425]
R1422	101557|React with Conviction.2	If used to cancel a {Corruption} action, then the action is canceled in its entirety and the corruption counters are not burned. [LSJ 20070222-1]
R1423	101557|React with Conviction.3	If the canceled card had a "Do Not Replace Until" clause on it, that clause is canceled as well and the card is replaced normally. [LSJ 20011023]
R1424	101557|React with Conviction.4	Can be used to cancel all action cards, including employ retainer, recruit ally and political action. [ANK 20200813-2]
R1425	101559|Read the Winds.1	[ANI][AUS] Can be used by a vampire who is already attempting to block. [ANK 20181122-2]
R1426	101561|Reality Mirror.1	Cannot be used to bypass restrictions (like Clan restriction or any other play restriction). [LSJ 20020426]
R1427	101563|Reanimated Corpse.1	Looses all its pathos counters if it is burned. If it is brought back with X being zero (eg. {Compel the Spirit}), it has no pathos counter and burns immediately. [LSJ 20071015]
R1428	101565|Rebirth.1	Cannot be used following an {Amaranth} or an {Abactor} as they are not diablerie actions. [ANK 20190701]
R1429	101567|Reckless Agitation.1	Cannot allocate 6 points to a single Methuselah, nor any point to yourself. Cannot be played if there is only one opponent left. [LSJ 20000622] [LSJ 20100129]
R1430	101567|Reckless Agitation.2	Can allocate more points than a Methuselah has pool. [LSJ 20020819]
R1431	101571|Recure of the Homeland.1	Is not the default action, no blood is paid to leave torpor. [ANK 20181017]
R1432	101573|Red Herring.1	The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [LSJ 20070709] [ANK 20221011-2]
R1433	101573|Red Herring.2	Actions without card (provided by the rulebook) are not "the same" as actions provided by cards (played or in play). [LSJ 20060522] [LSJ 20060824] [LSJ 20080725] [LSJ 20090617]
R1434	101573|Red Herring.3	Actions without card (provided by the rulebook) can be repeated if they have different targets. Equipping from a minion targets the equipments: if one equipment is the same, the action is the same. [RTR 19950509] [LSJ 20080710] [ANK 20200502]
R1435	101573|Red Herring.4	Actions provided by cards in play are not the same if the card is not the same, even if the cards have the same name. [LSJ 20080725]
R1436	101575|Red Question, The.1	Is a change of the actual sect. A temporary effect overriding the sect has precedence and if it does, this card burns (eg. {Writ of Acceptance}). [LSJ 20100811]
R1437	101575|Red Question, The.2	If the target changes sect to a sect inappropriate for his title, he loses its benefit until his sect is appropriate. He immediately yields the title if it is contested or he receives a new one. [LSJ 20060904]
R1438	101575|Red Question, The.3	Does not make the action an action that "makes this vampire anarch" (eg. {CrimethInc.} cannot be played). [ANK 20180125]
R1439	101575|Red Question, The.4	The burn option cannot be used if you have a non-titled, non-Anarch vampire in torpor. [LSJ 20091204]
R1440	101578|Redirection.1	Must be played before action resolution, ie. before any modifier or reaction played "as the action/bleed would be successful" are played. It cannot be played after a {Spying Mission} on the vampire triggers. [LSJ 19980105]
R1441	101578|Redirection.2	Can be played when failing to block because of stealth: it is still declining to block. [ANK 20211003]
R1442	101579|Redistribution.1	Cannot target an uncontrolled Blood Brother. [LSJ 20061109]
R1443	101581|Reform Body.1	If the vampire saves himself from diablerie, the diablerie is considered unsuccessful. The diablerist gets nothing from the victim, and no Blood Hunt is called. [LSJ 19970224]
R1444	101581|Reform Body.2	Cannot be played by vampires who aren't controlled. [LSJ 19970224]
R1445	101581|Reform Body.3	Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20010814-4] [LSJ 20070417]
R1446	101582|Reformation.1	[chi] Cannot be used if there is no equipment to destroy. [RTR 19980928]
R1447	101588|Rego Motum.1	Prevents up to 2 or 4 damage, it can be used to prevent less. [RTR 20041202]
R1448	101588|Rego Motum.2	Cannot be used if there is no damage to prevent. [LSJ 20001114]
R1449	101588|Rego Motum.3	Unused prevention does not carry over. [LSJ 20001114]
R1450	101589|Reindoctrination.1	Only requires one clan or the other (Tremere or Tremere antitribu) to be played. [ANK 20190203]
R1451	101591|Reins of Power.1	Applies a pool gain then a pool loss. {Poison Pill} ignores the gain and only takes the loss into account, a Methuselah cannot withdraw even if the total was positive. [ANK 20180813]
R1452	101595|Relentless Reaper.1	[for] Cannot be used if there is no damage to prevent. [LSJ 20001114]
R1453	101595|Relentless Reaper.2	[THN] Effects that end combat and then do something else after combat (include continuing the action as if unblocked) will be lost, except for unlock effects. [LSJ 19980109] [RTR 20020501]
R1454	101595|Relentless Reaper.3	[THN] Cannot be played after [CEL] {Psyche!}. When played before, combat continues and {Psyche!} can only be played at the end of it. [ANK 20191219]
R1455	101595|Relentless Reaper.4	[THN] Must be played after presses, can be played if the round ends prematurely and can be played before or after effects that are played "at then of the round" (eg. {Taste of Vitae}). [LSJ 20021113] [RTR 20030519] [ANK 20180910-1]
R1456	101602|Renegade Garou.1	The additional strike is mandatory. [PIB 20121028]
R1457	101603|Renewed Vigor.1	[obe], [OBE]: Is undirected if you control the target, directed at the controller of the target otherwise. [PIB 20121210]
R1458	101605|Repo Man.1	Paying for the equipment found is not optional if a ready minion meet the requirements. If paying the cost will oust the controlling Methuselah, then she is ousted. [RTR 19941109] [RTR 20010710]
R1459	101606|Repulsion.1	[OBE] Can be used even if the stealth is not currently needed. [LSJ 20011214-2]
R1460	101606|Repulsion.2	[pre] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R1461	101606|Repulsion.3	[pre] Replace the action card (if any) before playing it. [ANK 20181208]
R1462	101608|Resilience.1	Cannot be used if there is no damage to prevent. [LSJ 20001114]
R1463	101608|Resilience.2	Prevents up to 3 non-aggravated damage, it can be used to prevent less. [RTR 20041202]
R1464	101608|Resilience.3	Unused prevention does not carry over. [LSJ 20001114]
R1465	101608|Resilience.4	[FOR] Cannot be used to prevent aggravated damage, even if the minion treats them as normal damage (eg. {Skin of Night}). [LSJ 20040812-2] [PIB 20130327]
R1466	101609|Resilient Mind.1	Can be used when a {Form of Corruption} is put into play to protect that vampire from that {Form of Corruption}. [LSJ 20031223]
R1467	101610|Resist Earth's Grasp.1	[cel] [COMBAT] If used to maneuver, the optional press can only be used during the current round. [TOM 19960521]
R1468	101614|Restricted Vitae.1	A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R1469	101615|Restructure.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R1470	101616|Resume the Coil.1	Is not the default action, no blood is paid to leave torpor or rescue from torpor. [ANK 20181017]
R1471	101617|Resurrection.1	Can only resurrect allies or retainers burned from play. Discards and blocked actions do not qualify. [LSJ 20011216-1]
R1472	101623|Revelation of Despair.1	[SER] When the acting minion gets stolen, the block still happens and the blocking minion locks. [ANK 20220127]
R1473	101624|Revelation of Ecstasy.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R1474	101624|Revelation of Ecstasy.2	Can target a locked minion. [ANK 20170303]
R1475	101626|Revelation of Wrath.1	Must be played after the presses are handled and can be played if the round ends prematurely. [RTR 20030519]
R1476	101626|Revelation of Wrath.2	Does not count environmental damage. [ANK 20200925]
R1477	101626|Revelation of Wrath.3	Can be played by a vampire going to torpor. Can be played by a vampire who is about to burn. [ANK 20201122] [ANK 20200926]
R1478	101626|Revelation of Wrath.4	Does not allow to take control of the opponent. [ANK 20200925] [ANK 20211105]
R1479	101627|Revelations.1	[aus] You do not get to see the card drawn as replacement. [LSJ 20100119] [PIB 20121031]
R1480	101631|Revolutionary Council.1	Unlocked Anarchs are chosen when choosing terms. They still count if they get locked during the vote. [LSJ 20081203]
R1481	101634|Riddle Phantastique.1	If put into play with no counters, it burns immediately. [LSJ 20070307]
R1482	101634|Riddle Phantastique.2	The burn option can only be used if you do not control a ready Kiasyd (no matter the presence or absence of a valid target). [ANK 20240610]
R1483	101635|Righteous Aura.1	The card is burned before the vampire leaves the ready region (eg. it is burned if {Banishment} is used on the vampire it is on) [ANK 20180511-1]
R1484	101636|Rigor Mortis.1	[thn], [THN] The press can only be used during the current round. [TOM 19960521]
R1485	101636|Rigor Mortis.2	[THN] Canceling a maneuver provided by a strike does not cancel the strike (eg. {Aid from Bats}, {.44 Magnum}). The chosen strike cannot be changed. [LSJ 20050228-3] [ANK 20230111]
R1486	101636|Rigor Mortis.3	[THN] Canceling a maneuver that provides a press does cancel the press. [ANK 20230114]
R1487	101636|Rigor Mortis.4	The opponent cannot play a card that provides an additional strike, even if just to benefit from another effect (eg. {Acrobatics}). [LSJ 20011214-5]
R1488	101637|Riposte.1	[cel] [CEL] The damage is dealt just after the combat ends. [RTR 19970630]
R1489	101637|Riposte.2	[cel] [CEL] The damage is only dealt if the strike was resolved at close range. [LSJ 19970915]
R1490	101637|Riposte.3	[cel] [CEL] If the strike is dodged, no damage is done. [LSJ 19980526] [RTR 20041202]
R1491	101637|Riposte.4	[cel] [CEL] If the combat continues or a new combat begins, no damage is done. [RTR 20020501]
R1492	101637|Riposte.5	[cel] [CEL] Is a damage dealing strike and can be modified by other effects like {Target Vitals} or {Dam the Heart's River}, even if they are done after combat. [ANK 20170111] [PIB 20130319]
R1493	101640|Rising, The.1	Anything that would increase the pool amount is considered "gaining pool". [ANK 20181105]
R1494	101640|Rising, The.2	Methuselahs do not gain the pool granted by a bleed action (eg. {Kindred Spirits}) if they do not have the edge or a VP beforehand. [LSJ 20100206-2]
R1495	101640|Rising, The.3	Methuselahs gain the pool granted by an effect after a successful bleed action (eg. {The unnamed}), since they get the edge before the effect kicks in. [LSJ 20100210-2]
R1496	101640|Rising, The.4	When ousting their prey, Methuselahs decide if they gain the VP before or after gaining the pool. [LSJ 20100208]
R1497	101640|Rising, The.5	{Off Kilter}'s additional pool cannot be gained if you do not have a VP (edge is burned before pool is gained). [LSJ 20100207]
R1498	101642|Ritual of the Bitter Rose.1	Can be played after a diablerie, before the blood hunt. [ANK 20201228]
R1499	101646|Rockheart.1	[VIS] Superior still prevents only half of the current strike. [PIB 20120116]
R1500	101649|Rolling with the Punches.1	[for] Cannot be used if there is no damage to prevent. [LSJ 20001114]
R1501	101650|Rom Gypsy.1	He can lock to use his ability the turn he is recruited. [ANK 20180517]
R1502	101652|Root of Vitality.1	[vic] Is not the default action, no blood is paid for the rescue. [ANK 20181017]
R1503	101654|Rötschreck.1	Is played on the vampire that would receive the aggravated damage. [RTR 19980623]
R1504	101654|Rötschreck.2	Can only be played after declaration of a strike, before resolution. It can be played before or after the opponent's strike is announced. [LSJ 19990217] [RTR 20041202] [LSJ 20100119]
R1505	101654|Rötschreck.3	Cannot be played if a non-strike effect would inflict aggravated damage (eg. {Outside the Hourglass} with {Domain of Evernight}). REVERSAL of a 2011 ruling. [ANK 20220114]
R1506	101654|Rötschreck.4	Cannot be played if the damage is not effective at the current range [RTR 19980928] [ANK 20211102]
R1507	101654|Rötschreck.5	Can be played and is effective even if the opponent has announced a Strike: Dodge or Strike: Combat Ends. [LSJ 20011005] [ANK 20211102]
R1508	101654|Rötschreck.6	Can be played and is effective even if the opponent treats aggravated damage as normal. [ANK 20200130-1]
R1509	101654|Rötschreck.7	Combat ends immediately, strikes are not resolved (including strike: combat ends), damage prevention cannot be played, and a second Rötschreck cannot be played. [LSJ 19990217] [LSJ 20020715] [LSJ 20060803]
R1510	101654|Rötschreck.8	Combat cards usable "when the opposing vampire is going / should go into torpor" cannot be used. [LSJ 20020402]
R1511	101654|Rötschreck.9	If the combat continues or a new combat begins, the card is put on the vampire, he is not locked and does not go to torpor. He still does not unlock as normal. [RTR 20020501] [LSJ 20071009]
R1512	101654|Rötschreck.10	The "does not unlock as normal" effect stops if Rötschreck is burned or removed. [ANK 20191025]
R1513	101655|Rowan Ring.1	Adding damage to the Ring strike will not deal damage. [RTR 19960221]
R1514	101655|Rowan Ring.2	Only usable at close range. Damage prevention cannot be used against it. [LSJ 19980219]
